PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
697;"Generiek Informatieplatform Openbaar Domein (GIPOD) - uitbouw";24-04-2014;;"Dillen Marijke";;08-05-2014;;PCO;--selecteer--;08-05-2014;08-05-2014;08-05-2014;08-05-2014;
695;"Mobiliteit Vlaams-Brabant en Brussel - maatregelen";22-04-2014;;"De Knop Irina";;05-05-2014;;WVB;;05-05-2014;06-05-2014;06-05-2014;06-05-2014;
694;"Kruispunt Assesteenweg / NInoofsesteenweg Lennik - Verzakking";22-04-2014;;"Reekmans Peter";;06-05-2014;;WVB;;06-05-2014;06-05-2014;06-05-2014;06-05-2014;
691;"Proefproject toeritdosering Mortsel - Tellingen verkeersintensiteit";16-04-2014;;"Vermeiren Goedele";;28-04-2014;;EVT;;28-04-2014;28-04-2014;28-04-2014;28-04-2014;
690;"Verbindingsweg N19/N118 Geel - Stand van zaken";15-04-2014;;"Reekmans Peter";;24-04-2014;;WA;;24-04-2014;24-04-2014;24-04-2014;24-04-2014;
678;"Hoge Mouwtunnel Kasterlee - Geluidsoverlast";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
688;"N263 Bever - zwaar vrachtverkeer";08-04-2014;;"De Knop Irina";;22-04-2014;;WVB;;22-04-2014;22-04-2014;22-04-2014;22-04-2014;
681;"Uitrol elektrisiche mobiliteit - stand van zaken";07-04-2014;;"Rzoska Björn";;18-04-2014;;Stafdienst;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
685;"Kempische Noord-Zuidverbinding - geluidsoverlast";07-04-2014;;"De Kort Dirk";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
684;"N19g Kasterlee - Geel - Geluidsschermen";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
682;"N49 - Maldegem - geluidsoverlast";07-04-2014;;"Rzoska Björn";;18-04-2014;;WOV;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
680;"Ongelijkgrondse kruisingen - Westerring Genk";07-04-2014;;"Peeters Lydia";;18-04-2014;;WL;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
679;"Fietspaden A12 - Staat";07-04-2014;;"Rzoska Björn";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
