PV;"Te laat";Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
697;Nee;"Generiek Informatieplatform Openbaar Domein (GIPOD) - uitbouw";24-04-2014;;"Dillen Marijke";;08-05-2014;;"PCO, Stafdienst, WA, WK";;08-05-2014;08-05-2014;08-05-2014;08-05-2014;2014-0697.docx
690;Nee;"Verbindingsweg N19/N118 Geel - Stand van zaken";15-04-2014;;"Reekmans Peter";;24-04-2014;;WA;;24-04-2014;24-04-2014;24-04-2014;24-04-2014;"2014-0690.doc, pv_1059.doc, PV_1059_Antwoord_Minister Crevits.doc, pv_1257.doc, PV_1257_gec. antwoord_Minister Crevits.doc, pv2014-052-690-ant.doc"
678;Nee;"Hoge Mouwtunnel Kasterlee - Geluidsoverlast";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0678.doc, pv2014-048-678-ant.doc"
685;Nee;"Kempische Noord-Zuidverbinding - geluidsoverlast";07-04-2014;;"De Kort Dirk";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0685.doc, pv2014-051-685-ant.doc"
684;Nee;"N19g Kasterlee - Geel - Geluidsschermen";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0684.doc, pv2014-050-684-ant.doc"
679;Nee;"Fietspaden A12 - Staat";07-04-2014;;"Rzoska Björn";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;"2014-0679.doc, pv2014-049-679-ant.doc"
661;Nee;"Albertkanaal - Verbreding - Verhoging bruggen";28-03-2014;;"Reekmans Peter";"Geen elementen van antwoord";08-04-2014;;WA;;08-04-2014;08-04-2014;08-04-2014;08-04-2014;2014-0661.doc
651;Nee;"Heraanleg N14 te Zandhoven - stand van zaken";26-03-2014;;"Vermeiren Goedele";"Input De Lijn toegevoegd";09-04-2014;;WA;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;"2014-0651.doc, 2014-0651DeLijn.doc, pv2014-044-651-ant.doc, 2014-0651-gec.docx"
617;Nee;"Gewestwegen stad Antwerpen - fietsveiligheid (2)";13-03-2014;;"Vogels Mieke";;26-03-2014;;WA;;26-03-2014;26-03-2014;26-03-2014;26-03-2014;"2014-0617.doc, pv2014-043-617-ant.doc, 2014-0617.doc"
614;Nee;"Gewestwegen Antwerpen - overdracht naar de stad";12-03-2014;;"Wienen Wim";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0614.doc, pv2014-042-614-ant.doc, 2014-0614.doc"
612;Nee;"Heraanleg kruispunt N14 / R16 Lier - stand van zaken (2)";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0612.doc, pv2014-041-612-ant.doc, 2014-0612.doc"
611;Nee;"Tweede spoortontsluiting Antwerpse haven - Trajectkeuze";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;"2014-0611.doc, pv2014-040-611-ant.doc, 2014-0611-AWV.doc"
600;Nee;"E34 Herstellingen";06-03-2014;;"Van Dijck Kris";;18-03-2014;;WA;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;"2014-0600.doc, 2014-0600-aangepast.doc"
594;Nee;"Arendonk - aanleg fietsinfrastructuur";05-03-2014;;"Kennes Ward";;17-03-2014;;WA;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;"2014-0594.doc, 2014-0594.doc"
510;Nee;"Tramlijnen 2 en 4 Antwerpen - doorstroming aan kruispunten";18-02-2014;;"Penris Jan";;07-03-2014;;WA;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;"2014-0510.doc, 2014-0510-AWV-gec-aangepast.doc, Def antw vraag 510.doc"
586;Nee;"Doortrekking N171 Kontich-Boom - Stand van zaken";28-02-2014;;"Peeters Dirk";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0586.docx, 2014-0586.doc"
573;Nee;" Wegverharding E34 Zoersel - Turnhout - Timing";27-02-2014;;"Kennes Ward";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0573.doc, 2014-0573-aangepast.doc"
572;Nee;"Herbelijning kruispunt R11/N1 Mortsel - timing";27-02-2014;;"Vermeiren Goedele";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;"2014-0572.doc, 2014-0572.doc"
542;Nee;"N123 Herentals - Lichtaart - Verkeersveiligheid";21-02-2014;;"Reekmans Peter";;06-03-2014;;WA;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;"2014-0542.doc, 2014-0542-aangepast.doc"
519;Nee;"Krigsbaan Hoboken - Overdracht";19-02-2014;;"Wienen Wim";;03-03-2014;;WA;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;"2014-0519.doc, 2014-0519-aangepast.doc, 2014-0519-bijlage.pdf"
507;Ja;"Nx Stabroek - stand van zaken";17-02-2014;;"Peeters Dirk";;27-02-2014;;WA;;01-01-1970;27-02-2014;27-02-2014;27-02-2014;"2014-0507.doc, 2014-0507-AWV.doc, 2014-0507bijlage.pdf"
487;Ja;"E313 Olen - geuidsschermen";12-02-2014;;"Smaers Griet";;24-02-2014;;WA;;;24-02-2014;24-02-2014;24-02-2014;2014-0487.doc
485;Ja;"Vrije busbaan N177 - Uitbreiding";10-02-2014;;"De Ridder Annick";;21-02-2014;;WA;;01-01-1970;21-02-2014;21-02-2014;21-02-2014;"2014-0485.docx, 2014-0485.doc"
483;Ja;"Kempische Noord-Zuidverbinding - Kostprijs";10-02-2014;;"Peeters Dirk";;21-02-2014;;WA;;01-01-1970;21-02-2014;21-02-2014;21-02-2014;"2014-0483.docx, 2014-0483.doc"
473;Ja;"Fietspad N10 Koningshooikt - heraanleg";06-02-2014;;"Hendrickx Marc";;19-02-2014;;WA;;01-01-1970;19-02-2014;19-02-2014;19-02-2014;"2014-0473.doc, 2014-0473-aangepast.doc"
465;Ja;"E34 Antwerpen - eindhoven - verlichtingspalen afrit 24";04-02-2014;;"Kennes Ward";;14-02-2014;;WA;;;14-02-2014;14-02-2014;14-02-2014;2014-0465.doc
440;Ja;"Oude Vaartstraat Ranst - Geluidsschermen";30-01-2014;;"Van den Eynde Marleen";;12-02-2014;;WA;;;12-02-2014;12-02-2014;12-02-2014;"2014-0440.doc, 2014-0440.doc"
439;Ja;"E19 Keizershoek Kontich - Geluidsscherm";30-01-2014;;"Van den Eynde Marleen";;12-02-2014;;WA;;;12-02-2014;12-02-2014;12-02-2014;"2014-0439.doc, 2014-0439.doc"
435;Ja;"Kruispunt Vrijheid / Buizelstraat Hoogstraten - Zebrapad";29-01-2014;;"Huybrechts Patrick ";;11-02-2014;;WA;;;11-02-2014;11-02-2014;11-02-2014;"2014-0435.doc, 2014-0435.doc"
427;Ja;"Albertkanaal Oelegem - Flitscamera";28-01-2014;;"Schrijvers Katrien";;10-02-2014;;WA;;;10-02-2014;10-02-2014;10-02-2014;"2014-0427.doc, 2014-0427.doc"
